id_aluno;ano;genero;idade;anos_na_pm;instituicao;fase;fase_ideal;defasagem;inde;pedra;IAA;IEG;IPS;IPP;IDA;IPV;IAN;nota_mat;nota_por;nota_ing;qtd_avaliadores;defasagem_prox;inde_prox;fase_prox;var_defasagem;var_inde;risco
RA-1;2022;F;19,0;6;Pública;7,0;8,0;-1,0;5,783;Quartzo;8,3;4,1;5,6;;4,0;7,278;5,0;2,7;3,5;6,0;4,0;0,0;;8,0;1,0;;0
RA-1;2023;F;20,0;7;Privada - Bolsa 100%;8,0;8,0;0,0;;;;;;;;;10,0;;;;;0,0;;8,0;0,0;;0
RA-1000;2023;F;8,0;0;Pública;0,0;0,0;0,0;7,9162;Ametista;8,5;9,4;3,77;6,25;7,0;8,92;10,0;7,0;7,0;;2,0;0,0;8,364790909100002;1,0;0,0;0,44859090910000177;0
RA-1001;2023;F;9,0;0;Pública;0,0;1,0;-1,0;8,1162;Topázio;9,0;9,1;7,52;7,5;7,8;9,17;5,0;8,3;7,3;;2,0;-1,0;7,7964318841;1,0;0,0;-0,31976811589999876;0
RA-1002;2023;F;9,0;0;Pública;0,0;1,0;-1,0;7,9012;Ametista;9,0;9,7;7,52;6,25;7,0;8,92;5,0;7,0;7,0;;2,0;-1,0;7,967866666700001;0,0;0,0;0,06666666670000065;0
RA-1003;2023;M;8,0;0;Pública;0,0;0,0;0,0;7,6522;Ametista;9,0;8,5;7,52;7,5;4,0;8,75;10,0;8,0;0,0;;2,0;-1,0;7,627588888900001;0,0;-1,0;-0,024611111099998695;1
RA-1004;2023;F;8,0;0;Pública;0,0;0,0;0,0;8,3137;Topázio;9,0;9,6;7,52;6,875;7,9;7,42;10,0;6,5;9,2;;2,0;-1,0;7,801200000000001;0,0;-1,0;-0,5125000000000002;1
RA-1006;2023;F;8,0;0;Pública;0,0;0,0;0,0;8,5922;Topázio;9,0;9,3;7,52;7,5;8,7;8,0;10,0;8,7;8,6;;2,0;-1,0;7,040088888900001;0,0;-1,0;-1,5521111110999994;1
RA-1008;2023;M;8,0;0;Pública;0,0;0,0;0,0;8,13595;Topázio;9,0;8,6;7,52;5,9375;8,4;7,5;10,0;7,5;9,2;;2,0;-1,0;6,8667414438000005;0,0;-1,0;-1,2692085561999988;1
RA-1009;2023;M;8,0;0;Pública;0,0;0,0;0,0;7,245;Ametista;0,0;9,0;3,77;7,5;8,8;7,84;10,0;8,3;9,2;;2,0;-1,0;6,395389393900001;0,0;-1,0;-0,8496106060999988;1
RA-1012;2023;F;8,0;0;Pública;0,0;0,0;0,0;7,96495;Ametista;10,0;9,9;3,77;7,1875;6,6;7,845;10,0;7,0;6,2;;2,0;-1,0;8,057128571400002;0,0;-1,0;0,09217857140000163;1
RA-1013;2023;M;7,0;0;Pública;0,0;0,0;0,0;7,6237;Ametista;9,0;9,6;4,39;5,625;8,3;5,76;10,0;7,0;9,5;;2,0;-1,0;5,7839559808;0,0;-1,0;-1,8397440192000003;1
RA-1014;2023;F;7,0;0;Pública;0,0;0,0;0,0;8,2582;Topázio;9,0;9,7;3,77;7,5;8,2;8,255;10,0;7,7;8,7;;2,0;-1,0;6,315972727300001;0,0;-1,0;-1,9422272726999994;1
RA-1015;2023;F;10,0;0;Pública;1,0;2,0;-1,0;7,538908333;Ametista;10,0;9,3;6,27;7,34375;6,3;7,786666667;5,0;5,0;7,6;;3,0;0,0;6,643252381000002;2,0;1,0;-0,8956559519999985;0
RA-1017;2023;M;11,0;0;Pública;1,0;2,0;-1,0;6,505333333;Ágata;0,0;8,0;5,02;7,5;7,7;8,116666667;5,0;7,0;8,3;;3,0;0,0;7,345521428500001;2,0;1,0;0,8401880955000003;0
RA-1018;2023;M;9,0;0;Pública;1,0;1,0;0,0;6,824;Ágata;0,0;8,5;5,02;7,5;6,3;8,06;10,0;5,8;6,8;;3,0;-1,0;7,7054045454;1,0;-1,0;0,8814045454000006;1
RA-1019;2023;F;8,0;0;Pública;1,0;0,0;1,0;7,177033333;Ametista;7,5;9,1;5,02;6,875;4,3;7,836666667;10,0;0,5;8,0;;3,0;0,0;8,692255194900001;1,0;-1,0;1,5152218619000015;0
RA-1020;2023;F;9,0;0;Pública;1,0;1,0;0,0;7,612283333;Ametista;10,0;9,1;2,52;7,1875;6,1;8,056666667;10,0;4,3;7,8;;3,0;0,0;8,9544954545;1,0;0,0;1,3422121215000002;0
RA-1021;2023;M;9,0;0;Pública;1,0;1,0;0,0;6,964616667;Ágata;8,0;9,2;3,77;7,1875;3,3;7,893333333;10,0;2,5;4,0;;3,0;-1,0;8,0985863636;1,0;-1,0;1,1339696966000012;1
RA-1022;2023;M;9,0;0;Pública;1,0;1,0;0,0;7,164616667;Ametista;8,5;8,5;3,77;7,1875;4,7;7,893333333;10,0;4,7;4,7;;3,0;-1,0;7,613169697000002;1,0;-1,0;0,448553030000002;1
RA-1023;2023;F;9,0;0;Pública;1,0;1,0;0,0;9,1342;Topázio;10,0;10,0;6,27;8,75;9,1;9,06;10,0;8,5;9,7;;3,0;0,0;9,4985809523;2,0;0,0;0,36438095229999945;0
RA-1024;2023;F;10,0;0;Pública;1,0;2,0;-1,0;7,788875;Ametista;0,0;10,0;6,27;9,21875;9,8;8,95;5,0;10,0;9,5;;3,0;-1,0;8,6516166666;1,0;0,0;0,8627416666000007;0
RA-1025;2023;M;9,0;0;Pública;1,0;1,0;0,0;8,215158333;Topázio;8,5;8,9;7,52;7,65625;7,5;7,836666667;10,0;7,5;7,5;;3,0;-1,0;7,897071212;1,0;-1,0;-0,3180871209999996;1
RA-1027;2023;F;10,0;0;Pública;1,0;2,0;-1,0;7,748866667;Ametista;9,5;9,7;7,52;7,5;6,0;8,333333333;5,0;4,2;7,7;;3,0;0,0;8,220866666700001;2,0;1,0;0,4719999997000013;0
RA-1028;2023;M;11,0;0;Pública;1,0;2,0;-1,0;6,415708333;Ágata;0,0;9,2;7,52;7,34375;5,0;7,946666667;5,0;5,0;5,0;;3,0;-2,0;7,1404338602;1,0;-1,0;0,7247255271999995;1
RA-1029;2023;F;9,0;0;Pública;1,0;1,0;0,0;7,058533333;Ametista;10,0;6,3;3,77;7,5;5,4;8,006666667;10,0;3,5;7,2;;3,0;-1,0;7,797790909100001;1,0;-1,0;0,7392575761000009;1
RA-103;2022;F;13,0;2;Privada - Parceira;4,0;3,0;1,0;8,107;Topázio;7,9;8,7;7,5;;7,3;7,708;10,0;7,3;7,3;7,3;4,0;1,0;8,0239;5,0;0,0;-0,08309999999999995;0
RA-103;2023;F;14,0;3;Privada - Apadrinhamento;5,0;4,0;1,0;8,0239;Topázio;8,3;9,2;5,0;8,125;7,1;8,09;10,0;7,3;6,3;7,7;4,0;0,0;8,775268254;5,0;-1,0;0,7513682540000008;0
RA-1030;2023;M;11,0;0;Pública;1,0;2,0;-1,0;7,4027;Ametista;8,5;9,7;3,77;6,875;6,9;8,39;5,0;6,2;7,5;;3,0;0,0;7,740191604;2,0;1,0;0,33749160399999933;0
RA-1031;2023;M;10,0;0;Pública;1,0;2,0;-1,0;7,0602;Ametista;8,0;8,8;7,52;6,666666667;5,9;7,006666667;5,0;4,8;7,0;;3,0;-1,0;6,8757227273;1,0;0,0;-0,1844772726999997;0
RA-1032;2023;M;10,0;0;Pública;1,0;2,0;-1,0;7,434033333;Ametista;8,5;9,5;7,52;7,291666667;6,0;7,563333333;5,0;5,7;6,2;;3,0;-1,0;8,01645;1,0;0,0;0,5824166670000004;0
RA-1034;2023;M;10,0;0;Pública;1,0;2,0;-1,0;7,9642;Ametista;7,5;9,0;7,52;8,333333333;8,3;8,393333333;5,0;7,8;8,7;;3,0;0,0;8,0333666666;2,0;1,0;0,06916666659999926;0
RA-1035;2023;M;9,0;0;Pública;1,0;1,0;0,0;6,888833333;Ágata;0,0;8,3;7,52;7,708333333;5,8;7,78;10,0;4,0;7,5;;3,0;-1,0;7,833495454500001;1,0;-1,0;0,9446621215000013;1
RA-1036;2023;F;11,0;0;Pública;1,0;2,0;-1,0;6,970583333;Ágata;0,0;9,6;3,77;9,0625;8,0;8,336666667;5,0;9,0;7,0;;3,0;0,0;8,2841303831;2,0;1,0;1,3135470501000004;0
RA-1038;2023;F;10,0;0;Privada;1,0;2,0;-1,0;7,736825;Ametista;8,0;9,3;7,52;8,90625;6,5;8,17;5,0;7,5;5,5;;3,0;0,0;7,9646385965;2,0;1,0;0,22781359650000077;0
RA-1039;2023;M;12,0;0;Pública;1,0;3,0;-2,0;7,686033333;Ametista;8,0;9,9;7,52;8,125;6,2;8,056666667;5,0;6,0;6,3;;3,0;-1,0;7,549644444400001;2,0;1,0;-0,1363888885999991;0
RA-104;2022;M;18,0;0;Pública;4,0;8,0;-4,0;6,315;Ágata;7,9;8,7;7,5;;3,7;6,708;2,5;4,8;5,8;0,3;4,0;-3,0;4,25;5,0;1,0;-2,0650000000000004;0
RA-1040;2023;M;11,0;0;Pública;1,0;2,0;-1,0;7,81545;Ametista;10,0;9,3;7,52;7,8125;6,6;8,06;5,0;5,8;7,3;;3,0;-1,0;7,764199999900001;2,0;0,0;-0,05125000009999958;0
RA-1043;2023;M;10,0;0;Pública;1,0;2,0;-1,0;6,5447;Ágata;10,0;7,9;6,27;7,708333333;2,5;7,833333333;5,0;2,0;3,0;;3,0;-1,0;7,539847562500002;1,0;0,0;0,9951475625000024;0
RA-1044;2023;F;10,0;0;Pública;1,0;2,0;-1,0;7,629533333;Ametista;8,0;9,7;7,52;7,5;6,1;8,336666667;5,0;4,5;7,7;;3,0;0,0;7,966711904800001;2,0;1,0;0,3371785718000009;0
RA-1048;2023;F;10,0;0;Privada;1,0;2,0;-1,0;7,811366667;Ametista;8,5;9,5;3,77;8,541666667;8,2;8,5;5,0;7,5;8,8;;3,0;1,0;7,5198666666;2,0;2,0;-0,2915000004000001;0
RA-1049;2023;M;10,0;0;Pública;1,0;2,0;-1,0;7,443366667;Ametista;10,0;7,7;7,52;8,125;6,3;7,943333333;5,0;5,5;7,0;;3,0;-1,0;6,821885606;1,0;0,0;-0,6214810609999999;0
RA-1052;2023;M;9,0;0;Pública;1,0;1,0;0,0;6,960333333;Ágata;0,0;9,0;7,52;7,916666667;5,3;7,833333333;10,0;5,0;5,5;;3,0;-1,0;7,744032575800001;1,0;-1,0;0,7836992428000009;1
RA-1054;2023;M;12,0;0;Pública;1,0;3,0;-2,0;7,459533333;Ametista;8,5;8,6;7,52;7,5;6,6;7,836666667;5,0;5,0;8,2;;3,0;-1,0;6,985788509300001;2,0;1,0;-0,4737448236999997;0
RA-1055;2023;M;11,0;0;Pública;1,0;2,0;-1,0;5,9765;Quartzo;0,0;7,2;7,52;7,291666667;5,5;7,276666667;5,0;6,0;5,0;;3,0;-2,0;6,403040909100001;1,0;-1,0;0,42654090910000164;1
RA-1056;2023;M;9,0;0;Pública;1,0;1,0;0,0;8,551741667;Topázio;8,5;9,6;7,52;7,96875;8,1;8,113333333;10,0;7,8;8,3;;3,0;-1,0;8,192009523800001;1,0;-1,0;-0,3597321431999987;1
RA-1057;2023;F;9,0;0;Pública;1,0;1,0;0,0;8,4827;Topázio;10,0;10,0;7,52;8,125;6,3;8,34;10,0;6,5;6,0;;3,0;-1,0;8,2352;1,0;-1,0;-0,24749999999999872;1
RA-1058;2023;F;9,0;0;Pública;1,0;1,0;0,0;7,356533333;Ametista;10,0;8,7;3,14;7,083333333;5,4;7,62;10,0;4,0;6,7;;3,0;-1,0;7,703347619;1,0;-1,0;0,34681428599999986;1
RA-1059;2023;M;10,0;0;Pública;1,0;2,0;-1,0;7,763741667;Ametista;10,0;9,8;2,52;7,96875;7,6;8,673333333;5,0;6,2;9,0;;3,0;0,0;8,678450000000002;2,0;1,0;0,9147083330000019;0
RA-106;2022;F;15,0;6;Privada - Parceira;4,0;5,0;-1,0;7,973;Ametista;9,2;8,0;9,4;;7,4;8,375;5,0;7,8;7,2;7,2;4,0;0,0;7,769658333;5,0;1,0;-0,20334166700000011;0
RA-106;2023;F;15,0;7;Privada - Apadrinhamento;5,0;5,0;0,0;7,769658333;Ametista;7,9;9,1;5,0;7,03125;7,3;7,5075;10,0;6,7;6,8;8,3;4,0;0,0;7,721664285733334;6,0;0,0;-0,04799404726666534;0
RA-1060;2023;M;10,0;0;Pública;1,0;2,0;-1,0;7,095741667;Ametista;9,0;8,6;3,14;7,96875;5,7;8,673333333;5,0;4,3;7,0;;3,0;0,0;6,448416666600001;2,0;1,0;-0,6473250003999995;0
RA-1061;2023;M;10,0;0;Pública;1,0;2,0;-1,0;8,196533333;Topázio;9,5;9,7;3,14;8,75;9,3;8,836666667;5,0;8,8;9,7;;3,0;0,0;8,76595;2,0;1,0;0,5694166670000005;0
RA-1062;2023;M;9,0;0;Pública;1,0;1,0;0,0;7,448841667;Ametista;7,4;7,7;3,77;8,59375;6,2;8,503333333;10,0;4,8;7,5;;3,0;-1,0;7,6147238096;1,0;-1,0;0,16588214260000012;1
RA-1063;2023;M;11,0;0;Privada - Apadrinhamento;1,0;2,0;-1,0;7,490825;Ametista;9,5;9,5;7,52;6,40625;5,9;7,89;5,0;4,7;7,0;;3,0;-1,0;7,279250000000001;2,0;0,0;-0,21157499999999896;0
RA-1064;2023;M;10,0;0;Pública;1,0;2,0;-1,0;8,4777;Topázio;8,5;9,8;7,52;9,375;8,6;8,84;5,0;8,3;8,8;;3,0;0,0;8,9802350877;2,0;1,0;0,5025350877000001;0
RA-1065;2023;F;10,0;0;Pública;1,0;2,0;-1,0;8,03395;Topázio;8,5;9,6;7,52;8,4375;7,0;8,84;5,0;7,7;6,3;;3,0;0,0;8,8634934783;2,0;1,0;0,8295434782999997;0
RA-1066;2023;F;10,0;0;Pública;1,0;2,0;-1,0;7,262616667;Ametista;8,5;6,6;7,52;8,4375;6,2;8,783333333;5,0;4,2;8,2;;3,0;0,0;7,9326223603;2,0;1,0;0,6700056933000003;0
RA-1067;2023;M;10,0;0;Pública;1,0;2,0;-1,0;6,541458333;Ágata;0,0;7,9;7,52;8,28125;5,4;9,006666667;5,0;4,5;6,3;;3,0;-1,0;7,840033333300001;1,0;0,0;1,2985750003000014;0
RA-1068;2023;M;10,0;0;Pública;1,0;2,0;-1,0;8,472533333;Topázio;8,5;9,3;6,89;9,166666667;9,0;9,283333333;5,0;8,3;9,7;;3,0;0,0;9,0150030303;2,0;1,0;0,5424696973000014;0
RA-1069;2023;M;11,0;0;Pública;1,0;2,0;-1,0;7,590033333;Ametista;9,0;7,8;7,52;8,125;7,1;8,226666667;5,0;7,5;6,7;;3,0;0,0;7,678917391300001;2,0;1,0;0,08888405830000057;0
RA-107;2022;F;15,0;4;Pública;4,0;5,0;-1,0;6,258;Ágata;7,5;6,4;7,5;;4,6;6,5;5,0;3,3;4,3;6,0;4,0;0,0;6,845208333;5,0;1,0;0,5872083330000004;0
RA-107;2023;F;15,0;5;Pública;5,0;5,0;0,0;6,845208333;Ágata;0,0;8,5;5,0;7,34375;7,0;7,5875;10,0;6,0;5,2;9,7;4,0;-1,0;6,676130827066667;5,0;-1,0;-0,16907750593333315;1
RA-1070;2023;M;11,0;0;Pública;1,0;2,0;-1,0;6,939033333;Ágata;9,0;7,8;3,14;7,708333333;5,8;8,67;5,0;5,3;6,3;;3,0;-1,0;6,287171861500001;1,0;0,0;-0,6518614714999993;0
RA-1071;2023;M;11,0;0;Pública;1,0;2,0;-1,0;6,414033333;Ágata;9,0;8,6;7,52;5,625;3,5;6,396666667;5,0;1,7;5,3;;3,0;-1,0;4,8048623378;2,0;0,0;-1,6091709951999995;0
RA-1072;2023;M;11,0;0;Pública;2,0;2,0;0,0;8,0152;Topázio;9,0;8,6;5,0;8,125;6,7;8,7125;10,0;5,2;8,2;;3,0;0,0;7,8153856754;3,0;0,0;-0,19981432460000015;0
RA-1073;2023;F;12,0;1;Pública;2,0;3,0;-1,0;6,384333333;Ágata;0,0;8,8;2,52;8,333333333;6,2;9,045;5,0;4,8;7,5;;3,0;0,0;7,0859945773333335;3,0;1,0;0,7016612443333337;0
RA-1075;2023;F;12,0;0;Pública;2,0;3,0;-1,0;6,591333333;Ágata;0,0;9,6;5,0;7,708333333;5,5;9,0025;5,0;5,0;6,0;;3,0;-1,0;6,8100812324;2,0;0,0;0,21874789940000028;0
RA-1076;2023;F;12,0;2;Pública;2,0;3,0;-1,0;7,901033333;Ametista;9,0;9,7;2,52;8,333333333;8,5;8,8775;5,0;9,0;8,0;;3,0;0,0;7,479598365200001;3,0;1,0;-0,4214349677999989;0
